,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
248,,California,45-49 yrs,1999.0,79,2269009,3.48,136,5.99
249,Males,California,50-54 yrs,1999.0,33,942363,3.5,62,6.58
250,Females,California,50-54 yrs,1999.0,10,977938,1.02,20,2.05
251,,California,50-54 yrs,1999.0,43,1920301,2.24,82,4.27
252,Males,California,55-59 yrs,1999.0,13,686730,1.89,32,4.66
253,Females,California,55-59 yrs,1999.0,0,729172,0.0,0,0.0
254,,California,55-59 yrs,1999.0,S,1415902,0.0,S,0.0
255,Males,California,60-64 yrs,1999.0,12,536409,2.24,27,5.03
256,Females,California,60-64 yrs,1999.0,0,590736,0.0,0,0.0
257,,California,60-64 yrs,1999.0,S,1127145,0.0,S,0.0
258,Males,California,65-69 yrs,1999.0,10,458231,2.18,24,5.24
259,Females,California,65-69 yrs,1999.0,0,527374,0.0,12,2.28
260,,California,65-69 yrs,1999.0,S,985605,0.0,36,3.65
261,Males,California,70-74 yrs,1999.0,0,396863,0.0,0,0.0
262,Females,California,70-74 yrs,1999.0,0,505536,0.0,10,1.98
263,,California,70-74 yrs,1999.0,0,902399,0.0,S,0.0
264,Males,California,75-79 yrs,1999.0,0,324356,0.0,13,4.01
265,Females,California,75-79 yrs,1999.0,0,442332,0.0,0,0.0
266,,California,75-79 yrs,1999.0,10,766688,1.3,S,0.0
267,Males,California,80-84 yrs,1999.0,0,193155,0.0,0,0.0
268,Females,California,80-84 yrs,1999.0,0,299796,0.0,0,0.0
269,,California,80-84 yrs,1999.0,0,492951,0.0,16,3.25
270,Males,California,85+ yrs,1999.0,0,129644,0.0,0,0.0
271,Females,California,85+ yrs,1999.0,0,283620,0.0,0,0.0
272,,California,85+ yrs,1999.0,0,413264,0.0,11,2.66
273,Males,California,Unknown yrs,1999.0,0,.,0.0,0,0.0
274,,California,Unknown yrs,1999.0,0,.,0.0,12,0.0
275,Males,Colorado,00-04 yrs,1999.0,0,149085,0.0,0,0.0
276,Females,Colorado,00-04 yrs,1999.0,0,142133,0.0,0,0.0
277,,Colorado,00-04 yrs,1999.0,0,291218,0.0,10,3.43
278,Males,Colorado,05-09 yrs,1999.0,0,156366,0.0,0,0.0
279,Females,Colorado,05-09 yrs,1999.0,0,148544,0.0,0,0.0
280,,Colorado,05-09 yrs,1999.0,0,304910,0.0,0,0.0
281,Males,Colorado,10-14 yrs,1999.0,0,157540,0.0,0,0.0
282,Females,Colorado,10-14 yrs,1999.0,0,148867,0.0,0,0.0
283,,Colorado,10-14 yrs,1999.0,0,306407,0.0,0,0.0
284,Males,Colorado,15-19 yrs,1999.0,21,157348,13.35,25,15.89
285,Females,Colorado,15-19 yrs,1999.0,0,145017,0.0,0,0.0
286,,Colorado,15-19 yrs,1999.0,S,302365,0.0,S,0.0
287,Males,Colorado,20-24 yrs,1999.0,15,155824,9.63,21,13.48
288,Females,Colorado,20-24 yrs,1999.0,0,138595,0.0,0,0.0
289,,Colorado,20-24 yrs,1999.0,S,294419,0.0,S,0.0
290,Males,Colorado,25-29 yrs,1999.0,19,172127,11.04,28,16.27
291,Females,Colorado,25-29 yrs,1999.0,0,154802,0.0,10,6.46
292,,Colorado,25-29 yrs,1999.0,S,326929,0.0,38,11.62
293,Males,Colorado,30-34 yrs,1999.0,0,170123,0.0,12,7.05
294,Females,Colorado,30-34 yrs,1999.0,0,157805,0.0,0,0.0
295,,Colorado,30-34 yrs,1999.0,10,327928,3.05,S,0.0
296,Males,Colorado,35-39 yrs,1999.0,10,188555,5.3,13,6.89
297,Females,Colorado,35-39 yrs,1999.0,0,183302,0.0,0,0.0
298,,Colorado,35-39 yrs,1999.0,S,371857,0.0,S,0.0
299,Males,Colorado,40-44 yrs,1999.0,0,184718,0.0,16,8.66
300,Females,Colorado,40-44 yrs,1999.0,0,182388,0.0,0,0.0
301,,Colorado,40-44 yrs,1999.0,12,367106,3.27,S,0.0
302,Males,Colorado,45-49 yrs,1999.0,0,163872,0.0,10,6.1
303,Females,Colorado,45-49 yrs,1999.0,0,163353,0.0,0,0.0
304,,Colorado,45-49 yrs,1999.0,0,327225,0.0,S,0.0
305,Males,Colorado,50-54 yrs,1999.0,0,133516,0.0,0,0.0
306,Females,Colorado,50-54 yrs,1999.0,0,132318,0.0,0,0.0
307,,Colorado,50-54 yrs,1999.0,0,265834,0.0,0,0.0
308,Males,Colorado,55-59 yrs,1999.0,0,92341,0.0,0,0.0
309,Females,Colorado,55-59 yrs,1999.0,0,94498,0.0,0,0.0
310,,Colorado,55-59 yrs,1999.0,0,186839,0.0,0,0.0
311,Males,Colorado,60-64 yrs,1999.0,0,69459,0.0,0,0.0
312,Females,Colorado,60-64 yrs,1999.0,0,72748,0.0,0,0.0
313,,Colorado,60-64 yrs,1999.0,0,142207,0.0,0,0.0
314,Males,Colorado,65-69 yrs,1999.0,0,57016,0.0,0,0.0
315,Females,Colorado,65-69 yrs,1999.0,0,63025,0.0,0,0.0
316,,Colorado,65-69 yrs,1999.0,0,120041,0.0,0,0.0
317,Males,Colorado,70-74 yrs,1999.0,0,46679,0.0,0,0.0
318,Females,Colorado,70-74 yrs,1999.0,0,57699,0.0,0,0.0
